a little,অল্প-স্বল্প
do well,ভাল কর
do whacky,পাগলাটে না
do with,ব্যবহার করা
do without,কোন কিছু ছাড়া চালানো
do work,কাজ কর
do wrong,পাপ করা
dobson fly,ডবসন উড়ে
dock charge,ডক চার্জ
dock cooper,ডক কুপার
dock crew,ডক ক্রু
dock dues,ডক পাওনা
dock hand,ডক হাত
dock hoist,ডক উত্তোলন
dock house,ডক ঘর
dock warrant,ডক পরোয়ানা
dock worker,ডক শ্রমিক
docking facility,ডকিং সুবিধা
docking fee,ডকিং ফি
doctor blade,ডাক্তার ফলক
doctor fish,ডাক্তার মাছ
doctor up,আপ ডাক্তার
doctoral thesis,ডক্টরেট থিসিস
doctor's bill,ডাক্তারের বিল
doctor's chamber,ডাক্তারখানা
doctors commons,ডাক্তার কমন্স
doctor's degree,ডাক্তারের ডিগ্রী
document bill,ডকুমেন্ট বিল
documentary draft,তথ্যচিত্র খসড়া
documentary evidence,দালিলিক প্রমাণ
documentary film,তথচিত্র ভিত্তিক চলচ্চিত্র
dodder family,টলমল পরিবার
dodder grass,টলমল ঘাস
dodge chain,ছল শৃঙ্খল
dog bee,কুকুর মৌমাছি
dog bent,কুকুর নমিত
dog biscuit,কুকুর বিস্কুট
dog bite,কুকুর কামড়
dog breeding,কুকুর প্রজনন
dog carrier,কুকুর ক্যারিয়ার
dog carts,কুকুর ট্রলি
dog chain,কুকুর চেইন
dog chart,কুকুর চার্ট
dog clutch,কুকুর ছোঁ
dog collar,কুকুর মণ্ডল
dog cracker,কুকুর ক্র্যাকার
dog crate,কুকুর ক্রেট
dog day,কুকুর দিন
dog days,সবচেয়ে গরমের দিন
dog do,কুকুর না
dog ears,কুকুর কান
dog fancier,কুকুর কল্পনাকারী
dog fennel,কুকুর মৌরি
dog fighting,কুকুর যুদ্ধ
dog flea,কুকুর মাছি
dog food,কুকুরের খাবার
dog fox,কুকুর শিয়াল
dog grass,কুকুর ঘাস
dog grate,কুকুর ক্যাঁচকোঁচ শব্দ
dog hip,কুকুর হিপ
dog hobble,কুকুর ব্যাহত
dog hood,কুকুর ফণা
dog hook,কুকুর হুক
dog house,কুকুরের ঘর
dog houses,কুকুর ঘর
dog iron,কুকুর লোহা
dog laurel,কুকুর গুল্মবিশেষ
dog mercury,কুকুর পারদ
dog mint,কুকুর টাকশাল
dog muzzle,কুকুর মুখবন্ধ
dog nap,কুকুর শুঁয়া
dog naps,কুকুর ঘুমাতে
dog paddle,কুকুর বাহা
dog pound,কুকুর পাউন্ড
dog racing,কুকুর দৌড়
dog robbing,কুকুর অপহারী
dog rose,কুকুর গুল
dog salmon,কুকুর স্যামন
dog shit,কুকুর বিষ্ঠা
dog show,কুকুর প্রদর্শনী
dog skin,কুকুর ত্বক
dog sled,কুকুর স্লেজগাড়ী
dog sleigh,কুকুর টানা স্লেজগাড়ি
dog snapper,কুকুর স্ন্যাপার
dog star,কুকুর তারকা
dog tag,কুকুরের ট্যাগ
dog teeth,কুকুর দাঁত
dog thorn,কুকুর কাঁটা
dog tick,কুকুর টিক্টিক্
dog track,কুকুর ট্র্যাক
dog train,কুকুর ট্রেন
dog trainer,কুকুর প্রশিক্ষকের
dog tree,কুকুর গাছ
dog violet,কুকুর বেগুনি
dog warden,কুকুর ওয়ার্ডেন
dog warp,কুকুর ওয়ার্প
dog whelk,কুকুর মুখের ব্রণ
dog whip,কুকুর হুইপ
dog wrench,কুকুর রেঞ্চ
dogberry tree,ডগবেরি গাছ
dogged perseverance,গোঁ
doggerel verse,ছড়া পদ্য
doggie bag,কুকুর ব্যাগ
doggy bag,কুকুরের ব্যাগ
doggy do,কুকুরের না
dog's breakfast,কুকুর এর ব্রেকফাস্ট
dog's chance,ক্ষীণ আশা
dog's dinner,কুকুর এর ডিনার
doing again,আবার করছেন
doing good,কল্যাণ
dolichos lablab,শিম
doll maker,পুতুল মেকার
doll up,পুতুল আপ
dollar acceptance,ডলার গ্রহণ
dollar bill,ডলার বিল
dollar bond,ডলার বন্ড
dollar diplomacy,ডলার কূটনীতি
dollar fish,টাকার মাছ
dollar mark,ডলার চিহ্ন
dollar sign,ডলার চিহ্ন
dollar volume,ডলার ভলিউম
doll's eyes,পুতুল এর চোখ
doll's house,পুতুলের ঘর
dolly bar,পুতুলসোনা বার
dolly shop,পুতুলসোনা দোকান
dolomite alps,ডলোমাইট আল্পস
dolphin fishes,ডলফিন মাছ
dolphin oil,শুশুক তেল
dolphin striker,শুশুক স্ট্রাইকার
domain name,কার্যক্ষেত্রের নাম
domed stadium,গম্বুজ স্টেডিয়াম
domestic animal,গার্হস্থ্য পশু
domestic animals,গৃহপালিত পশু
domestic ass,গার্হস্থ্য গাধা
domestic cat,গার্হস্থ্য বিড়াল
domestic conflict,গার্হস্থ্য সংঘাতের
domestic cow,দেশীয় গরু
domestic dog,গার্হস্থ্য কুকুর
domestic flight,গার্হস্থ্য ফ্লাইট
domestic fowl,দেশীয় কোনো পাখি
domestic fowls,দেশীয় পাখিরা
domestic goat,গার্হস্থ্য ছাগল
domestic help,গৃহকর্মী
domestic life,সংসার
domestic llama,গার্হস্থ্য লামা
domestic partner,গার্হস্থ্য অংশীদার
domestic pigeon,গার্হস্থ্য পায়রা
domestic prelate,গার্হস্থ্য পুরোহিত
domestic quarrel,আত্মবিরোধ
domestic science,গার্হস্থ্য বিজ্ঞান
domestic sheep,গৃহপালিত ভেড়া
domestic terrorism,ঘরোয়া সন্ত্রাস
domestic utensil,গৃহোপকরণ
domestic violence,পারিবারিক সহিংসতা
domesticated animal,ঘরকুনো প্রাণী
dominant allele,প্রভাবশালী অ্যালিল
dominant gene,প্রভাবশালী জিন
dominican dollar,ডোমিনিকান ডলার
dominican mahogany,ডোমিনিকান মেহগনি
dominican order,ডোমিনিকান অর্ডার
dominican peso,ডোমিনিকান পেসো
dominican republic,ডোমিনিকান প্রজাতন্ত্র
dominion day,ডোমিনিয়ন দিন
domino theory,ডমিনো তত্ত্ব
domino whist,ডমিনো চুপ্
don budge,ডন বাজ
don jon,ডন জন
don juan,ডন জুয়ান
don river,ডন নদী
donald barthelme,ডোনাল্ড বারথেলমি
donald duck,ডোনাল্ড হাঁসের
done for,জন্য কাজ
done in,মধ্যে সম্পন্ন
done perfunctorily,আধখেঁচড়া
done with,সঙ্গে সম্পন্ন
donjon keep,দুর্গের বিশাল সুরক্ষিত মিনার রাখুন
donkey boiler,গাধার বয়লার
donkey cart,গাধার গাড়িতে
donkey engine,গাধার ইঞ্জিন
donkey hoist,গাধার উত্তোলন
donkey jacket,গাধার জ্যাকেট
donkey pump,গাধার পাম্প
donkey tender,গাধার স্নেহপূর্ণ
donor agencies,দাতাগোষ্ঠী
donor card,দাতা কার্ড
doodle poll,সময় নষ্ট করা জরিপে
doom palm,নিয়তি করতল
doomsday book,শেষবিচারের বই
door chain,দরজা চেইন
door fastener,দরজা ভরপুর
door finisher,দরজা ফিনিশার
door frame,দরজার ফ্রেম
door guard,দরজা পাহারা
door jamb,দরজার চৌকাঠের বাজু
door knob,দরজার হাতল
door knobs,দরজা নব
door knocker,দরজা আঘাতকারী
door latch,দরজা হুড়কা
door lock,দরজা লক
door mat,দরজা মাদুর
door panel,কপাট
door plate,দরজার ফলক
door plates,দরজা প্লেট
door prize,দরজা পুরস্কার
door scraper,দরজা স্ক্র্যাপার
door sill,গোবরাট
door sills,গোবরাট
door stops,দরজা স্টপ
door switch,দরজার চাবি
door track,দরজা ট্র্যাক
door trapper,দরজা লোক ফাঁদের সাহায্যে জীবজন্তু
door-to-door canvasser,দরজা থেকে দরজা ভোট
door-to-door salesman,দরজা থেকে দরজা বিক্রয়িক
dope fiend,আফিম পাষণ্ড
dope off,বন্ধ আফিম
dope sheet,আফিম শীট
dope up,আপ আফিম
doppler effect,ডপলার এফেক্ট
doppler radar,ডপলার রাডার
doppler shift,ডপলার শিফট
dor abdominal,দোর পেটের
dor bee,দোর মৌমাছি
dor beetle,গুবরে-পোকা
dor fly,গুবরে-পোকা
dorian order,ডরিয়ান অর্ডার
doric dialect,ডোরিক উপভাষা
doric order,ডোরিক অর্ডার
doris lessing,ডরিস লেসিং
dorm room,ছাত্রাবাস
dormant account,সুপ্ত অ্যাকাউন্ট
dormant partner,অক্রিয় অংশী
dormant power,অন্তর্নিহিত শক্তি
dormitory room,আস্তানা রুম
dorsal apical,পৃষ্ঠীয় শীর্ষস্থ
dorsal branch,পৃষ্ঠীয় শাখা
dorsal carbuncle,পৃষ্ঠব্রণ
dorsal column,পৃষ্ঠীয় কলাম
dorsal fin,পৃষ্ঠীয় পাখনা
dorsal horn,পৃষ্ঠীয় শিঙা
dorsal intercostal,পৃষ্ঠীয় পাঁজরের মধ্যবর্তী
dorsal root,পৃষ্ঠীয় রুট
dorsal scapular,পৃষ্ঠীয় অংসফলকগত
dorsal spine,পৃষ্ঠীয় মেরুদণ্ড
dorsal thoracic,বক্ষঃ পাখনা
dorsal vertebra,পৃষ্ঠীয় পর্শুকা
dose rate,ডোজ হার
dosing siphon,ওভারডোজ ভরে নেয়া
doss down,ঘুমান নিচে
doss house,বাসাবাড়ি
dot com,ডট কম
dot figure,ডট চিত্র
dot matrix,ক্সচফ
dot printer,ডট প্রিন্টার
dot product,বিন্দু পণ্য
dote on,ঢলা
dotted line,পাগলামির সীমা
dotterel dun,বোকা লোক আঁধার
double acting,দ্বি-ক্রিয়াবিশিষ্ট
double back,দ্বীগুণ পেছনে
double bar,ডবল বার
double bassoon,ডবল বান্শিবিশেষ
double bed,দুইজনের বিছানা
double bend,ডবল মোড়
double bind,দ্বি বন্ধন
double birdie,ডবল পাখিসোনা
double blind,ডবল অন্ধ
double bogey,ডবল ছায়ামূর্তি
double boiler,ডবল বয়লার
double bond,ডবল বন্ড
double check,পুনঃনিরীক্ষণ
double chin,ডবল চিবুক
double clinch,ডবল চারপাশের
double concave,উভাবতল
double cream,ডবল ক্রিম
double crochet,ডবল ক্রোশেই
double dagger,জোড়া ছোরার
double damages,ডবল ক্ষতির
double date,দৈত্ব তারিখ
double decomposition,দ্বিপরিবর্ত
double digit,ডবল ডাক
double dipper,ডবল ঋক্ষমণ্ডল
double dipping,ডবল ডুব
double door,ডবল দরজা
double dot,ডবল ডট
double dribble,ডবল ড্রিবল
double dutch,ডাচ ডবল
double eagle,ডাবল ঈগল
double entendre,দ্ব্যর্থক
double entry,ডবল এন্ট্রি
double first,প্রথম ডবল
double flat,ফ্ল্যাট ডবল
double gear,ডবল গিয়ার
double glazing,ডবল চাকচিক্যময়
double handed,ডবল হাতি
double hatching,ডবল হ্যাচিং
double helix,ডবল হেলিক্স
double hung,ডবল স্তব্ধ
double indemnity,ডবল শাস্তি এড়াইবার
double jeopardy,ডাবল বিপদ্
double knit,ডবল বুনা
double marriage,ডবল বিয়ে
double negative,ডবল নেতিবাচক
double obelisk,ডবল স্মারকস্তম্ভ
double over,ধরে দুবার
double play,ডবল খেলার
double pneumonia,ডবল নিউমোনিয়া
double precision,ডবল স্পষ্টতা
double print,ডবল মুদ্রণ
double quotes,উদ্ধৃতি চিহ্ন
double reed,ডবল রিড
double refraction,দ্বিপ্রতিসরণ
double reverse,ডবল বিপরীত
double rhyme,ডবল ছড়া
double salt,ডবল লবণ
double saucepan,ডবল কড়া
double sharp,ধারালো ডবল
double sole,ডাবল একমাত্র
double standard,ডবল স্ট্যান্ডার্ড
double star,তারকাযুগল
double stem,ডবল স্টেম
double stitch,ডবল সেলাই
double stopping,ডবল বাঁধন
double take,দিগুন গ্রহণ
double talk,ডবল আলাপ
double time,ডবল সময়
double tracking,ডবল ট্র্যাকিং
double up,গুটান
double vision,ডবল দৃষ্টি
double-blind experiment,ডবল অন্ধ পরীক্ষা
double-breasted suit,ডবল ব্রেস্টেড মামলা
double-breasted jacket,ডবল ব্রেস্টেড জ্যাকেট
double-propeller plane,ডাবল চালক বিমান
double-reed instrument,ডাবল রিড যন্ত্র
doubt monger,সন্দেহ রটনাকারী
doubting mania,সন্দেহ বাতিক
doubting thomas,সন্দেহ টমাস
dough break,মালকড়ি বিরতি
dough maker,মালকড়ি সৃষ্টিকর্তা
dough making,মালকড়ি তৈরীর
dough stage,মালকড়ি মঞ্চ
doughnut tire,ডোনাট টায়রা
douglas fir,ডগলাস ফার
douglas moore,ডগলাস মুর
douglas pine,ডগলাস পাইন
douglas spruce,ডগলাস ফিটফাট
douglas squirrel,ডগলাস কাঠবিড়াল
dove color,কবুতরের রঙ
dove plant,ঘুঘু উদ্ভিদ
dove pox,ঘুঘু পক্স
dove tick,ঘুঘু টিক্টিক্
dovetail clamp,নিখুঁতভাবে মিলে যাওয়া বাতা
dovetail joint,ফিঙা জোড়া
dovetail molding,নিখুঁতভাবে মিলে যাওয়া ছাঁচনির্মাণ
dovetail plane,নিখুঁতভাবে মিলে যাওয়া বিমান
dovetail saw,নিখুঁতভাবে মিলে যাওয়া করাত
dovetail slide,নিখুঁতভাবে মিলে যাওয়া স্লাইড
dovetail together,একসঙ্গে নিখুঁতভাবে মিলে
dovetail vise,নিখুঁতভাবে মিলে যাওয়া ভীসা
dowager's hump,সম্ভ্রান্ত বয়স্কা মহিলা এর কুঁজ
dowel jig,কীলক আনন্দময় সুর
dowel pin,কীলক পিন
dowel pointer,কীলক পয়েন্টার
dowel spoke,কীলক স্পোক
dower chest,দেনমোহর বুক
down curve,নিচে বক্ররেখা
down curved,নিচে বাঁকা
down cushion,নিচে কুশন
down east,নিচে পূর্ব
down easter,ইস্টার নিচে
down feather,নিচে পালক
down pat,নিচে প্যাট
down picker,নিচে বাছাইকারী
down pipe,নিচে পাইপ
down plumage,নিচে পালকের
down runner,নিচে রানার
down syndrome,ডাউন সিন্ড্রোম
down throw,নিক্ষেপ করা
down time,নিচে সময়
down tools,ধর্মঘট করা
down tree,নিচে গাছ
down under,নিচে
down wind,নিচে তলিয়ে
down with,নিচে
downing street,ব্রিটিশ সরকার বা ব্রিটিশ
downright harassment,নিতান্ত হয়রানি
downriver trip,ট্রিপ বিধ্বস্ত
downtown area,শহরের কেন্দ্রস্থল
downward direction,অধোদেশ
downward spiraling,"to become progressively worse, vicious cycle"
downward tendency,নিম্নগামী প্রবণতা
doxepin hydrochloride,অার হাইড্রোক্লোরাইড
d'oyly carte,ডয়লি খাদ্যসমূহের
doze off,বন্ধ তন্দ্রা
dpt vaccine,ডিপিটি টিকা
draft animal,খসড়া প্রাণী
draft beer,ড্রাফট বিয়ার
draft board,খসড়া বোর্ড
draft copy,খসড়া কপি
draft gauge,খসড়া গেজ
draft gear,খসড়া গিয়ার
draft horse,খসড়া ঘোড়া
draft rein,খসড়া মূক্ত
draft resolution,খসড়া সমাধান
draft tube,অব্যবহৃত নল
drafting board,খসড়া বোর্ড
drafting instrument,খসড়া যন্ত্র
drafting room,খসড়া রুম
drafting table,খসড়া টেবিল
drag along,বরাবর টেনে
drag anchor,ড্র্যাগ নোঙ্গর
drag apart,সরাইয়া টানুন
drag behind,পিছনে টেনে
drag boat,ড্র্যাগ নৌকা
drag box,ড্র্যাগ বক্স
drag bucket,ড্র্যাগ বালতি
drag classifier,ড্র্যাগ ক্লাসিফায়ার
drag conveyor,ড্র্যাগ পরিবাহক
drag crank,ড্র্যাগ ঢিলা
drag hook,ড্র্যাগ হুক
drag horse,ড্র্যাগ ঘোড়া
drag in,ড্র্যাগ
drag iron,ড্র্যাগ লোহা
drag link,লিংক টানো
drag off,বন্ধ টানুন
drag oneself,নিজেকে টেনে
drag out,বাইরে টেনে
drag rake,ড্র্যাগ মই দিয়া আহরণ করা
drag ropes,ড্র্যাগ দড়াদড়ি
drag sail,ড্র্যাগ পাল
drag spring,ড্র্যাগ বসন্ত
drag step,ড্র্যাগ ধাপ
drag tooth,ড্র্যাগ দাঁত
drag twist,ড্র্যাগ সুতা
drag up,টানা
drag wire,ড্র্যাগ টেলিগ্রাম
dragged out,টানিয়া লইয়া যাত্তয়া
dragon age,ড্রাগন বয়স
dragon balloon,ড্রাগন বেলুন
dragon beam,ড্রাগন মরীচি
dragon claw,ড্রাগন নখর
dragon gum,ড্রাগন আঠা
dragon head,ড্রাগন মাথা
dragon like,মত ড্রাগন
dragon lizard,ড্রাগন টিকটিকি
dragon piece,ড্রাগন টুকরা
dragon plant,ড্রাগন উদ্ভিদ
dragon tie,ড্রাগন টাই
dragon tree,ড্রাগন গাছ
dragon turnip,ড্রাগন শালগম
dragon's blood,ড্রাগন রক্ত
dragon's eye,ড্রাগন চোখ
dragon's head,ড্রাগন এর মাথা
dragon's mouth,ড্রাগন এর মুখ
dragoon bird,অশ্বারোহী সৈনিক পাখি
drain basket,ড্রেন বাস্কেট
drain cleaner,ড্রেন ক্লিনার
drain exhauster,ড্রেন ধূলিশোষক
drain grate,ড্রেন ক্যাঁচকোঁচ শব্দ
drain layer,ড্রেন লেয়ার
drain out,নিকাশ করা
drain pit,ড্রেন পিট
drain pump,নালার পাম্প
drain valve,ড্রেনের কপাট
drain well,ভাল ড্রেন
drainage area,নির্গমক্ষেত্র
drainage basin,নিষ্কাশন অববাহিকা
drainage benefit,ড্রেনেজ সুবিধা
drainage district,ড্রেনেজ জেলা
drainage ditch,নিষ্কাশন খানা
drainage gate,ড্রেনেজ গেট
drainage inlet,ড্রেনেজ খাঁড়ি
drainage inspector,ড্রেনেজ পরিদর্শক
drainage pipe,নিষ্কাশন পাইপ
drainage shaft,ড্রেনেজ খাদ
drainage system,জলনির্গমন-প্রণালী
drainage theory,ড্রেনেজ তত্ত্ব
drainage tile,ড্রেনেজ টালি
drainage trap,ড্রেনেজ ফাঁদ
drainage tube,নর্দমার নল
drainage tunnel,ড্রেনেজ সুড়ঙ্গ
draining away,দূরে পাড়ে
draining board,পাড়ে বোর্ড
drake fly,ড্রেক মাছি
drake foot,ড্রেক পা
drake green,ড্রেক সবুজ
dram shop,নাটকেও দোকান
drama critic,নাটক সমালোচক
drama league,নাটক লীগ
dramatic art,নাটকীয় শিল্প
dramatic composition,নাটকীয় রচনা
dramatic event,নাটকীয় ঘটনা
dramatic irony,নাটকীয় বিদ্রূপ
dramatic performance,নাটকীয় কর্মক্ষমতা
dramatic play,নাটকীয় খেলা
dramatic production,নাটকীয় প্রকাশনা
dramatic work,নাটকীয় কাজ
dramatis personae,নাট্যোল্লিখিত ব্যক্তিবর্গ
drastic action,কঠোর ব্যবস্থা
draught animal,ভারবাহী পশু
draught beer,ড্রাফট বিয়ার
draught board,খসড়া বোর্ড
draught horse,খসড়া ঘোড়া
draught house,শৌচালয
draughts board,খসড়া বোর্ড
dravidian language,দ্রাবিড় ভাষা
draw attention,দৃষ্টি আকর্ষন করা
draw away,অন্যদিকে সরাইয়া লওয়া
draw back,পিছাইয়া আসা
draw bar,দণ্ড আঁকা
draw breath,জীবিত থাকা
draw chain,চেইন আঁকা
draw close,ঘেঁষা
draw for,ভাগ্য নির্ধারণের জন্য লটারি করা
draw game,খেলা ড্র
draw in,সংকুচিত করা
draw knives,ছুরি আঁকা
draw near,কাছে আক
draw nearer,নিকটবর্তী
draw off,টানিয়া ফেলা
draw on,কাছাকাছি হওয়া
draw out,ছকিয়া ফেলা
draw play,খেলার আঁকা
draw poker,জুজু আঁকা
draw rein,মূক্ত আঁকা
draw shave,শেভ আঁকা
draw sheet,শীট আঁকা
draw slate,স্লেট আঁকা
draw through,মাধ্যমে আঁকা
draw to,আকৃষ্ট হওয়া
draw together,কুড়ান
draw up,স্থগিত হওয়া
drawback lock,অপূর্ণতা লক
drawer dovetail,ড্রয়ারের নিখুঁতভাবে মিলে যাওয়া
drawer pull,ড্রয়ার টান
drawing account,অ্যাকাউন্ট অঙ্কন
drawing back,ফিরে অঙ্কন
drawing bench,অঙ্কন বেঞ্চ
drawing block,অঙ্কন ব্লক
drawing board,অঙ্কন বোর্ড
drawing card,অঙ্কন কার্ড
drawing chalk,অঙ্কন খড়ি
drawing die,অঙ্কন ডাই
drawing ink,অঙ্কন কালি
drawing instrument,অঙ্কন উপকরণ
drawing knife,অঙ্কন ছুরি
drawing lots,প্রচুর অঙ্কন
drawing off,বন্ধ অঙ্কন
drawing office,অঙ্কন অফিস
drawing out,এঁকে ফেলো
drawing paper,অঙ্কন কাগজ
drawing pin,অঙ্কন পিন
drawing power,অঙ্কন ক্ষমতা
drawing room,বৈঠকখানা
drawing shave,অঙ্কন শেভ
drawing slate,অঙ্কন স্লেট
drawing string,অঙ্কন স্ট্রিং
drawing table,অঙ্কন টেবিল
drawing thread,অঙ্কন থ্রেড
drawing up,অঙ্কন
drawing-room car,বৈঠকখানা গাড়ী
drawn butter,টানা মাখন
drawn in,গুটান
drawn out,নিষ্কোষিত
drawn together,কুড়ান
drawn up,প্রণীত
dray horse,ড্রে ঘোড়া
dream likeness,স্বপ্ন প্রতিমূর্তি
dream of,স্বপ্ন দেখা
dream up,স্বপ্ন দেখা
dream world,স্বপ্নরাজ্য
dreaminess’ allowance,দুর্মূল্যভাতা
dredge cam,ঝালা ক্যাম
dredge chain,ঝালা শৃঙ্খল
dredge gear,ঝালা গিয়ার
dredge hoist,ঝালা উত্তোলন
dredge malt,ঝালা মল্ট
dredge pipe,ঝালা পাইপ
dredge up,আপ ঝালা
dredging box,ড্রেজিং বক্স
dredging bucket,ড্রেজিং বালতি
dredging machine,ড্রেজিং মেশিন
drenched in,প্লাবিত
drenched thoroughly,জাবড়ান
dresden ware,ড্রেস্দেন্ গুদাম
dress blues,পোষাক ব্লুজ
dress cap,পোষাক টুপি
dress circle,পোশাক বৃত্ত
dress coat,পোষাক কোট
dress code,পরিধান রীতি - নীতি
dress designer,পোষাক ডিজাইনার
dress down,শায়েস্তা করা
dress face,পোষাক মুখ
dress form,পোষাক ফর্ম
dress goods,পোষাক সামগ্রী
dress hanger,পোষাক জল্লাদ
dress oneself,নিজের ধড়াচূড়া
dress preserver,পোষাক পালক
dress rack,পোষাক আলনা
dress regulation,পোষাক রেগুলেশন
dress rehearsal,পোষাক রিহার্সাল
dress shield,পোষাক ঢাল
dress ship,পোষাক জাহাজ
dress shirt,পোষাক শার্ট
dress shop,পোষাক দোকান
dress tie,পোষাক টাই
dress uniform,পোষাক অভিন্ন
dress up,পোশাক পরিধান করা
dress whites,পোষাক সাদা
dressed ore,পরিহিত আকরিক
dressed up,সজ্জিত
dressing case,ড্রেসিং ক্ষেত্রে
dressing glass,ড্রেসিং গ্লাস
dressing gown,ড্রেসিং গাউন
dressing oneself,নিজের ড্রেসিং
dressing room,সাজঘর
dressing sack,ড্রেসিং ছালা
dressing station,ড্রেসিং স্টেশন
dressing table,ড্রেসিং টেবিল
dressmaker shop,দর্জি দোকান
dressmaker's model,পোশাক- এর মডেল
dressmaking shop,সেলাই দোকান
dried apricot,শুকনো এপ্রিকট
dried chilli,শুকনা মরিচ
dried dates,খেজুর
dried fish,শুটকি মাছ
dried fruit,শুকনো ফল
dried milk,শুকনো দুধ
dried up,শুকিয়ে
drift anchor,ড্রিফট নোঙ্গর
drift angle,ড্রিফট কোণ
drift apart,সরাইয়া প্রপাত
drift avalanche,ড্রিফট ধ্বস
drift away,দূরে প্রপাত
drift boat,ড্রিফট নৌকা
drift bolt,ড্রিফট বল্টু
drift bottle,ড্রিফট বোতল
drift copper,তামা প্রপাত
drift fishes,মাছের প্রপাত
drift keel,ড্রিফট জাহাজের তলি
drift meter,মিটার প্রপাত
drift mine,ড্রিফট খনি
drift net,ড্রিফট নেট
drift off,বন্ধ প্রপাত
drift piece,ড্রিফট টুকরা
drift pin,ড্রিফট পিন
drift pins,পিনের প্রপাত
drift plug,ড্রিফট প্লাগ
drift sail,ড্রিফট পাল
drill barrel,ড্রিল পিপা
drill book,ড্রিল বই
drill bow,ড্রিল নম
drill cartridge,ড্রিল কার্তুজ
drill changer,ড্রিল পোদ্দার
drill chuck,ড্রিল প্রি়
drill clamp,ড্রিল বাতা
drill cloth,ড্রিল কাপড়
drill collar,ড্রিল মণ্ডল
drill collet,ড্রিল আঙটি
drill cutter,ড্রিল কর্তনকারী
drill day,ড্রিল দিন
drill driver,ড্রিল চালক
drill engine,ড্রিল ইঞ্জিন
drill extractor,ড্রিল নিষ্কর্ষক
drill feeder,ড্রিল শাখানদী
drill file,ড্রিল ফাইল
drill flute,ড্রিল বাঁশি
drill grinder,ড্রিল পেষকদন্ত
drill ground,ড্রিল স্থল
drill hall,ড্রিল হল
drill holder,ড্রিল ধারক
drill hole,ড্রিল গর্ত
drill in,এ কসরত
drill into,মধ্যে কসরত
drill jar,ড্রিল বয়াম
drill maker,ড্রিল সৃষ্টিকর্তা
drill making,ড্রিল তৈরীর
drill master,কাওয়াজ শিক্ষক
drill pin,ড্রিল পিন
drill plow,ড্রিল লাঙ্গল
drill point,ড্রিল বিন্দু
drill press,ড্রিল প্রেস
drill rack,ড্রিল আলনা
drill ratchet,ড্রিল র্যাচিট
drill regulation,ড্রিল প্রবিধান
drill shank,ড্রিল ঠেং
drill sharpener,ড্রিল শার্পনার
drill site,ড্রিল সাইটের
drill socket,ড্রিল সকেট
drill spring,ড্রিল বসন্ত
drill steel,ড্রিল ইস্পাত
drill tester,ড্রিল পরীক্ষক
drill through,মাধ্যমে কসরত
drill tower,ড্রিল মিনার
drill twister,ড্রিল প্রতারক
drill well,ভাল কসরত
drill worker,ড্রিল কর্মী
drill yard,ড্রিল গজ
drilling bit,তুরপুন বিট
drilling fluid,তুরপুন তরল
drilling jig,তুরপুন আনন্দময় সুর
drilling journal,তুরপুন জার্নাল
drilling machine,তুরপুন
drilling mud,তুরপুন কাদা
drilling pipe,তুরপুন পাইপ
drilling stem,তুরপুন স্টেম
drilling track,তুরপুন ট্র্যাক
drink down,নিচে পান
drink grass,ড্রিংক ঘাস
drink in,শুষিয়া লত্তয়া
drink money,টাকা পান
drink offering,ঢালন-উৎসর্গের অনুষ্ঠান
drink proof,পান প্রমাণ
drink to,পান
drink together,একসঙ্গে পান
drink up,পান করা
drink water,জলপান করা
drinker moth,পান করে মথ
drinking age,পানীয় বয়স
drinking bout,মদ্যপপানোত্সব
drinking chocolate,মদ্যপান চকলেট
drinking companion,পানীয় সহচর
drinking cup,পানপাত্র
drinking fountain,পানীয় ঝরনা
drinking glass,পানীয় গ্লাস
drinking house,মদ্যপান ঘর
drinking song,মদ্যপান গান
drinking straw,মদ্যপান খড়
drinking vessel,মদ্যপান বদনা
drinking water,পানি পান করছি
drinking wine,অলিপান
drip cock,ড্রিপ মোরগ
drip coffee,ড্রিপ কফি
drip culture,ড্রিপ সংস্কৃতি
drip cup,ড্রিপ কাপ
drip groove,ড্রিপ খাঁজ
drip loop,ড্রিপ লুপ
drip mat,ড্রিপ মাদুর
drip mold,ড্রিপ ছাঁচ
drip molding,ড্রিপ ছাঁচনির্মাণ
drip mould,ড্রিপ ছাঁচ
drip oil,ড্রিপ তেল
drip pocket,ড্রিপ পকেট
drip pot,ড্রিপ পাত্র
drip primrose,ড্রিপ হলুদ ফুলের
drip proof,ড্রিপ প্রমাণ
drip tank,ড্রিপ ট্যাংক
drip tray,ড্রিপ ট্রে
drip trough,ড্রিপ নালা
dripping pan,ক্ষরণ প্যান
drive apart,সরাইয়া ড্রাইভ
drive around,কাছাকাছি চালনা
drive away,বিতাড়িত করা
drive back,ফিরে ড্রাইভ
drive fit,ড্রাইভ হইয়া
drive forward,এগিয়ে চালনা
drive hard,হার্ড ড্রাইভ
drive home,হোম চালনা
drive in,গাড়া
drive into,পুঁতা
drive line,ড্রাইভ লাইন
drive mad,ড্রাইভ ম্যাড
drive off,বন্ধ ড্রাইভ
drive on,চালাও
drive out,তাড়িয়ে
drive past,ড্রাইভ গত
drive pipe,ড্রাইভ পাইপ
drive shaft,ড্রাইভ খাদ
drive up,উপরে চালনা কর
drive wild,খেপিয়ে
driven into,প্রোথিত
driven well,ভাল চালিত
driver ant,চালক পিপীলিকা
